rank,name,location,state,median_SAT_ACT_score,SAT,ACT,est_price_2018_19_without_aid,est_price_2018.19_with_avg._grant,percent_with_need_who_get_grants,ave_student_debt,early_career_earnings,diff_price_ecEarning,diff_price_debt,lon,lat
1,Princeton University,"Princeton, NJ",NJ,1500/34,1500,34,67700,19000,100,7500,69800,2100,62300,-74.6514481,40.3439888
2,University of California-San Diego,"La Jolla, CA",CA,1310/30,1310,30,32900,15900,95,18500,58600,25700,40100,-117.2340135,32.8800604
3,University of California-Irvine,"Irvine, CA",CA,1200/27,1200,27,34700,14800,96,17000,54900,20200,37900,-117.8442962,33.6404952
4,University of California-Los Angeles,"Los Angeles, CA",CA,1320/31,1320,31,34700,15300,96,16300,57500,22800,41200,-118.4451811,34.068921
5,Stanford University,"Stanford, CA",CA,1480/33,1480,33,70800,17900,98,12500,73300,2500,60800,-122.169719,37.4274745
6,Massachusetts Institute of Technology,"Cambridge, MA",MA,1530/34,1530,34,69000,23200,96,17300,81500,12500,64200,-71.09416,42.360091
7,University of California-Berkeley,"Berkeley, CA",CA,1410/33,1410,33,37900,18400,99,14200,65400,27500,51200,-122.2585399,37.8718992
8,CUNY Bernard M Baruch College,"New York, NY",NY,1240/NA,1240,NA,32500,10200,89,10800,54500,22000,43700,-73.9831567,40.7404873
9,University of Michigan-Ann Arbor,"Ann Arbor, MI",MI,1410/31,1410,31,30200,17300,82,20100,59300,29100,39200,-83.7382241,42.2780436
10,University of Virginia-Main Campus,"Charlottesville, VA",VA,1350/31,1350,31,33000,17100,84,19500,59500,26500,40000,-78.5079772,38.0335529
11,University of California-Davis,"Davis, CA",CA,1190/28,1190,28,36600,17200,96,14700,56700,20100,42000,-121.7617125,38.5382322
12,California Institute of Technology,"Pasadena, CA",CA,1560/35,1560,35,70600,28800,100,14400,78800,8200,64400,-118.125269,34.1376576
13,Rice University,"Houston, TX",TX,1490/34,1490,34,64700,23700,98,10200,65700,1000,55500,-95.4018312,29.7173941
14,University of Pennsylvania,"Philadelphia, PA",PA,1480/34,1480,34,73400,24600,99,20600,68100,-5300,47500,-75.1932137,39.9522188
15,Yale University,"New Haven, CT",CT,1510/34,1510,34,73000,19700,100,13500,66800,-6200,53300,-72.9223431,41.3163244
16,Harvard University,"Cambridge, MA",MA,1520/34,1520,34,71300,17400,100,6500,69200,-2100,62700,-71.1166601,42.3770029
17,Texas A & M University-College Station,"College Station, TX",TX,1190/27,1190,27,29200,16600,82,18800,57200,28000,38400,-96.4803466,30.6384561
18,Vanderbilt University,"Nashville, TN",TN,1510/34,1510,34,69000,24900,92,14000,61100,-7900,47100,-86.8026551,36.1447034
19,Georgia Institute of Technology-Main Campus,"Atlanta, GA",GA,1410/32,1410,32,29500,14300,87,24000,68100,38600,44100,-84.396285,33.7756178
19,University of Washington-Seattle Campus,"Seattle, WA",WA,1250/29,1250,29,27200,10800,77,15000,57300,30100,42300,-122.3035199,47.6553351
21,Massachusetts Maritime Academy,"Buzzards Bay, MA",MA,1050/23,1050,23,26300,15100,71,27000,63100,36800,36100,-70.6239579,41.7401719
22,California State University-Long Beach,"Long Beach, CA",CA,1050/23,1050,23,24600,10600,80,15000,49200,24600,34200,-118.1140904,33.7838235
23,University of Florida,"Gainesville, FL",FL,1280/29,1280,29,21600,15800,65,15800,52200,30600,36400,-82.3549302,29.6436325
24,Washington and Lee University,"Lexington, VA",VA,1390/32,1390,32,67500,25600,100,21500,59700,-7800,38200,-79.4449563,37.7904861
25,University of Illinois at Urbana-Champaign,"Champaign, IL",IL,1380/29,1380,29,30800,17900,64,20500,58600,27800,38100,-88.2271615,40.1019523
26,SUNY at Binghamton,"Vestal, NY",NY,1320/30,1320,30,26700,17800,83,19500,56400,29700,36900,-75.9697049,42.0893553
27,The University of Texas at Austin,"Austin, TX",TX,1280/29,1280,29,26100,17200,80,22300,56900,30800,34600,-97.7340567,30.2849185
28,University of Maryland-College Park,"College Park, MD",MD,1320/31,1320,31,27100,16900,78,19500,57600,30500,38100,-76.9425543,38.9869183
29,Virginia Polytechnic Institute and State University,"Blacksburg, VA",VA,1210/NA,1210,NA,26900,18500,71,24000,58600,31700,34600,-80.4234167,37.2283843
30,University of Notre Dame,"Notre Dame, IN",IN,1450/34,1450,34,71100,28700,97,21500,62500,-8600,41000,-86.2353388,41.7055716
31,North Carolina State University at Raleigh,"Raleigh, NC",NC,1260/29,1260,29,24300,14000,90,20800,53800,29500,33000,-78.6820946,35.7846633
32,University of California-Riverside,"Riverside, CA",CA,1070/24,1070,24,35500,13800,96,19100,51600,16100,32500,-117.3280644,33.9737055
33,Duke University,"Durham, NC",NC,1480/33,1480,33,73500,21400,96,7500,65300,-8200,57800,-78.9382286,36.0014258
34,Stony Brook University,"Stony Brook, NY",NY,1260/29,1260,29,26100,14600,84,19000,54300,28200,35300,-73.1233889,40.9123761
35,The College of New Jersey,"Ewing, NJ",NJ,1200/28,1200,28,35300,24100,39,23300,54400,19100,31100,-74.7778624,40.2683078
36,Williams College,"Williamstown, MA",MA,1440/33,1440,33,72300,19500,100,14600,62000,-10300,47400,-73.2036396,42.7129581
37,University of Chicago,"Chicago, IL",IL,1530/34,1530,34,77600,33400,98,14500,58100,-19500,43600,-87.5987133,41.7886079
38,University of California-Santa Barbara,"Santa Barbara, CA",CA,1260/30,1260,30,37000,16300,93,16500,54900,17900,38400,-119.848947,34.4139629
39,James Madison University,"Harrisonburg, VA",VA,1130/25,1130,25,26700,17500,51,20900,53400,26700,32500,-78.8697548,38.435092
40,Purdue University-Main Campus,"West Lafayette, IN",IN,1200/28,1200,28,23400,12600,64,21500,58000,34600,36500,-86.9211946,40.4237054
41,Michigan State University,"East Lansing, MI",MI,1130/27,1130,27,29200,16100,74,25500,51800,22600,26300,-84.4821719,42.701848
42,College of the Holy Cross,"Worcester, MA",MA,1290/29,1290,29,67800,29000,82,27500,56000,-11800,28500,-71.8079608,42.2392391
42,Swarthmore College,"Swarthmore, PA",PA,1420/32,1420,32,70500,21100,100,19500,60000,-10500,40500,-75.3523171,39.9040349
44,Dartmouth College,"Hanover, NH",NH,1460/32,1460,32,73600,22700,96,13500,66300,-7300,52800,-72.2886935,43.7044406
45,California State University-Dominguez Hills,"Carson, CA",CA,850/17,850,17,22900,3500,86,14000,46200,23300,32200,-118.2552809,33.8633706
46,Georgetown University,"Washington, DC",DC,1420/32,1420,32,73300,28600,88,15500,61400,-11900,45900,-77.0722585,38.9076089
47,California State Polytechnic University-Pomona,"Pomona, CA",CA,1030/24,1030,24,26700,13500,79,19000,53600,26900,34600,-117.820741,34.0575651
48,University of Wisconsin-Madison,"Madison, WI",WI,1310/29,1310,29,26300,17000,77,22300,53400,27100,31100,-89.4124875,43.076592
49,California State University-Stanislaus,"Turlock, CA",CA,910/19,910,19,21000,8100,87,15000,47000,26000,32000,-120.8562309,37.5251853
50,University of Connecticut,"Storrs, CT",CT,1230/29,1230,29,31800,20500,72,21500,55400,23600,33900,-72.6722132,41.7625336
51,California State University-Los Angeles,"Los Angeles, CA",CA,880/18,880,18,25400,4200,95,12900,47100,21700,34200,-118.1670662,34.0667803
52,Bates College,"Lewiston, ME",ME,NA/NA,NA,NA,70500,25800,100,14500,55800,-14700,41300,-70.2021865,44.1057216
53,Union College,"Schenectady, NY",NY,NA/NA,NA,NA,70300,41500,94,27000,58500,-11800,31500,-73.9295987,42.8177125
54,Barnard College,"New York, NY",NY,1370/31,1370,31,73000,24500,99,17800,53500,-19500,35700,-73.9639632,40.8090974
55,Colgate University,"Hamilton, NY",NY,1380/32,1380,32,71500,24100,99,16100,61400,-10100,45300,-75.5401764,42.8166152
56,Columbia University in the City of New York,"New York, NY",NY,1500/34,1500,34,76000,24700,99,21500,66000,-10000,44500,-73.9625727,40.8075355
57,College of William and Mary,"Williamsburg, VA",VA,1360/31,1360,31,38300,18000,86,19500,54400,16100,34900,-76.713378,37.271674
58,University of North Carolina at Chapel Hill,"Chapel Hill, NC",NC,1320/31,1320,31,26200,10800,88,16500,51200,25000,34700,-79.0469134,35.9049122
59,Brown University,"Providence, RI",RI,1470/33,1470,33,72800,27100,94,15000,63000,-9800,48000,-71.4025482,41.8267718
60,Boston College,"Chestnut Hill, MA",MA,1360/32,1360,32,72300,29200,88,19000,59200,-13100,40200,-71.1684945,42.3355488
61,San Jose State University,"San Jose, CA",CA,1040/23,1040,23,28800,14800,93,15000,58500,29700,43500,-121.8810715,37.3351874
62,California State University-Chico,"Chico, CA",CA,990/22,990,22,25000,14700,78,17000,52700,27700,35700,-121.8473287,39.729575
63,Virginia Military Institute,"Lexington, VA",VA,1150/26,1150,26,31300,17400,81,25000,62200,30900,37200,-79.43946,37.788981
64,California Polytechnic State University-San Luis Obispo,"San Luis Obispo, CA",CA,1260/29,1260,29,27800,19900,88,18700,61100,33300,42400,-120.6624942,35.3050053
65,Rutgers University-New Brunswick,"New Brunswick, NJ",NJ,1230/NA,1230,NA,32300,16800,70,22200,55800,23500,33600,-74.4473991,40.5008186
66,California State University-Fresno,"Fresno, CA",CA,910/19,910,19,20900,6600,88,15000,47800,26900,32800,-119.7457805,36.8124451
67,California State University-San Bernardino,"San Bernardino, CA",CA,880/18,880,18,24800,6900,89,16500,45500,20700,29000,-117.3235324,34.1821786
68,University of Delaware,"Newark, DE",DE,1170/26,1170,26,28500,17100,83,24200,54300,25800,30100,-75.7506114,39.6779504
69,Babson College,"Wellesley, MA",MA,1270/29,1270,29,70100,29500,95,26000,66600,-3500,40600,-71.2657077,42.2964421
70,Amherst College,"Amherst, MA",MA,1460/33,1460,33,73000,20500,100,13000,60200,-12800,47200,-72.5170028,42.3709104
71,Pomona College,"Claremont, CA",CA,1440/33,1440,33,71400,19500,100,11000,57500,-13900,46500,-117.711803,34.097743
72,Clemson University,"Clemson, SC",SC,1250/29,1250,29,30300,19100,82,21500,54300,24000,32800,-82.8364148,34.6760942
73,Davidson College,"Davidson, NC",NC,1350/31,1350,31,68300,30000,98,17000,53100,-15200,36100,-80.8446725,35.5008018
74,Haverford College,"Haverford, PA",PA,1420/33,1420,33,73300,22700,100,13000,54700,-18600,41700,-75.305656,40.0093478
75,SUNY College of Environmental Science and Forestry,"Syracuse, NY",NY,1170/25,1170,25,28000,19400,99,19800,49700,21700,29900,-76.1369148,43.0344612
76,Hamilton College,"Clinton, NY",NY,1390/32,1390,32,69300,26200,100,15800,58600,-10700,42800,-75.4057949,43.0524261
77,University of Minnesota-Twin Cities,"Minneapolis, MN",MN,1320/29,1320,29,28100,17400,84,20200,53400,25300,33200,-93.2277285,44.97399
78,Bowdoin College,"Brunswick, ME",ME,NA/NA,NA,NA,69700,26700,100,18800,55500,-14200,36700,-69.9639971,43.9076929
79,San Diego State University,"San Diego, CA",CA,1110/26,1110,26,28900,15400,80,15300,51100,22200,35800,-117.0718893,32.7757217
80,Saint Johns University,"Collegeville, MN",MN,1040/25,1040,25,57200,27500,98,27000,54700,-2500,27700,-73.7942112,40.7220627
81,CUNY Queens College,"Queens, NY",NY,1090/NA,1090,NA,29000,9300,86,11000,48700,19700,37700,-73.8194606,40.7363725
82,Lafayette College,"Easton, PA",PA,1300/29,1300,29,70300,28100,94,26000,61500,-8800,35500,-75.2087298,40.6986202
83,Vassar College,"Poughkeepsie, NY",NY,1420/32,1420,32,72100,23600,99,15800,52100,-20000,36300,-73.8957002,41.6867992
84,California State University-Fullerton,"Fullerton, CA",CA,1020/22,1020,22,28000,8800,76,15000,47400,19400,32400,-117.8869261,33.8829226
85,Bentley University,"Waltham, MA",MA,1180/28,1180,28,67800,38200,98,26500,62000,-5800,35500,-71.22168,42.3856989
86,Northwestern University,"Evanston, IL",IL,1480/33,1480,33,74700,31500,98,19400,59500,-15200,40100,-87.675267,42.0564594
87,University of Massachusetts-Amherst,"Amherst, MA",MA,1230/28,1230,28,30800,21600,87,24000,53500,22700,29500,-72.5267121,42.3911569
